year;tcbc;spi;region
2021;123;0,67634887221083040;CENTRE OUEST
2022;117;1,57878882335728044;CENTRE OUEST
2003;101;0,56631010595739995;CENTRE SUD
2004;91;-1,04398556529332387;CENTRE SUD
2005;106;-0,76186778827293888;CENTRE SUD
2006;109;-1,70515934091462440;CENTRE SUD
2007;93;-0,16408140239979888;CENTRE SUD
2008;80;-0,83344100659091436;CENTRE SUD
2009;125;1,04085172175516250;CENTRE SUD
2010;106;1,17606129974274309;CENTRE SUD
2011;104;-0,93516544861990636;CENTRE SUD
2012;111;1,13122234006456801;CENTRE SUD
2013;110;-1,21152061313711590;CENTRE SUD
2014;131;-0,49342115187274027;CENTRE SUD
2015;69;0,30189574424022236;CENTRE SUD
2016;55;0,96395752222257969;CENTRE SUD
2017;138;-1,43758516419511895;CENTRE SUD
2018;113;0,36189556409846335;CENTRE SUD
2019;116;1,26540013438140186;CENTRE SUD
2020;125;0,85198910529464533;CENTRE SUD
2021;137;0,41685299581039731;CENTRE SUD
2022;134;0,56978445279078083;CENTRE SUD
2003;154;1,01715599821759839;EST
2004;158;-0,69659952365553557;EST
2005;129;1,00338843215284568;EST
2006;111;-1,71003618351803599;EST
2007;88;-0,15222312959234255;EST
2008;85;0,06953698396458619;EST
2009;168;0,04760738537306095;EST
2010;102;-0,14387475433554608;EST
2011;141;-1,24143956709685876;EST
2012;90;-0,19528703469266051;EST
2013;151;-0,86262305874025669;EST
2014;114;-1,14209332761050364;EST
2015;108;0,40079619062889615;EST
2016;88;-0,08118436338587862;EST
2017;110;-0,57071244918121122;EST
2018;84;-0,70628563058912663;EST
2019;112;1,38163395474477757;EST
2020;115;2,22937545180803376;EST
2021;90;0,45522410920353140;EST
2022;91;0,94098301037001231;EST
2003;168;0,46510191510488924;HAUTS BASSINS
2004;157;-2,05148734051812864;HAUTS BASSINS
2005;119;-1,75462683674408182;HAUTS BASSINS
2006;181;0,24561028591485981;HAUTS BASSINS
2007;194;-0,63506849782767250;HAUTS BASSINS
2008;135;-0,16514996349789871;HAUTS BASSINS
2009;180;-0,21652887468931983;HAUTS BASSINS
2010;144;1,19161419513362410;HAUTS BASSINS
2011;154;-1,45473798640385565;HAUTS BASSINS
2012;147;0,31011260230902798;HAUTS BASSINS
2013;177;-0,17996453307674379;HAUTS BASSINS
2014;191;0,57112313957171290;HAUTS BASSINS
2015;160;1,24345472784303546;HAUTS BASSINS
2016;186;0,09831942074534120;HAUTS BASSINS
2017;167;-1,67993650287701413;HAUTS BASSINS
2018;167;1,07072205894330685;HAUTS BASSINS
2019;156;0,99778364411322273;HAUTS BASSINS
2020;146;0,60204953712787357;HAUTS BASSINS
2021;153;0,55674322704891366;HAUTS BASSINS
2022;132;0,79727487190238300;HAUTS BASSINS
2003;84;0,40733307071901836;NORD
2004;129;-1,96030667651713775;NORD
2005;91;-1,15561139606714347;NORD
2006;133;-1,41493100535997574;NORD
2007;146;-0,22868259711895872;NORD
2008;114;-0,40241831922245586;NORD
2009;93;0,83055519589742099;NORD
2010;89;0,74754360231247408;NORD
2011;107;-0,89766571143902818;NORD
2012;58;1,71839571411375758;NORD
2013;94;-0,87817902868411490;NORD
2014;102;-0,33414743036573186;NORD
2015;85;0,90802363280862208;NORD
2016;80;1,00115746718514376;NORD
2017;76;0,03269708556657811;NORD
2018;63;0,99374432264069801;NORD
2019;72;0,17992036612366652;NORD
2020;70;0,40326977951520515;NORD
2021;70;-0,83167332447381492;NORD
2022;39;0,95372186805142201;NORD
2003;94;0,38625800916199410;PLATEAU CENTRAL
2004;72;-1,82214318738212944;PLATEAU CENTRAL
2005;70;0,03756716053102294;PLATEAU CENTRAL
2006;112;-2,00009373930090817;PLATEAU CENTRAL
2007;99;-1,19205884258240880;PLATEAU CENTRAL
2008;92;-0,50687932570030969;PLATEAU CENTRAL
2009;104;1,10787128813262647;PLATEAU CENTRAL
2010;84;0,74878328956765394;PLATEAU CENTRAL
2011;111;-0,85710286869615504;PLATEAU CENTRAL
2012;92;1,22016511034390529;PLATEAU CENTRAL
2013;112;-0,85152905159251435;PLATEAU CENTRAL
2014;111;-0,05103146125906242;PLATEAU CENTRAL
2015;111;0,47029635666321135;PLATEAU CENTRAL
2016;71;1,05716365159041570;PLATEAU CENTRAL
2017;78;-0,88447370124985270;PLATEAU CENTRAL
2018;68;0,03382932811281726;PLATEAU CENTRAL
2019;98;0,64315840102158806;PLATEAU CENTRAL
2020;85;0,83869021334213323;PLATEAU CENTRAL
2021;95;0,51074871300571933;PLATEAU CENTRAL
2022;78;1,15806240904203994;PLATEAU CENTRAL
2003;75;1,64301795327213696;SAHEL
2004;128;-2,11320622337712072;SAHEL
2005;54;0,78038549760893028;SAHEL
2006;151;-1,11804337644249197;SAHEL
2007;127;-0,33644442795321794;SAHEL
2008;119;-1,03694165259487403;SAHEL
2009;88;-0,66482155320211611;SAHEL
2010;70;-0,13718984810675691;SAHEL
2011;92;-0,24378490495195215;SAHEL
2012;70;1,49086859192346988;SAHEL
2013;100;-0,37351399436382643;SAHEL
2014;92;-0,43101425885133404;SAHEL
2015;81;0,73073213410022209;SAHEL
2016;93;-0,03026603112032087;SAHEL
2017;88;0,01230224530137011;SAHEL
2018;88;0,96965664639866544;SAHEL
2019;113;0,06283543851027748;SAHEL
2020;84;1,62727284840578523;SAHEL
2021;98;-0,93926473586033299;SAHEL
2022;63;0,18362167364080842;SAHEL
2003;141;1,10866971373889722;SUD OUEST
2004;147;-0,70191132951998503;SUD OUEST
2005;159;-1,22973716708692460;SUD OUEST
2006;129;0,19670467810162143;SUD OUEST
2007;153;-1,40005826071642803;SUD OUEST
2008;118;-0,18157705705188140;SUD OUEST
2009;168;-0,08602297077712343;SUD OUEST
2010;165;0,64908005606033381;SUD OUEST
2011;188;-0,88786897518744312;SUD OUEST
2012;133;0,50584911427755208;SUD OUEST
2013;129;-0,96297255856682817;SUD OUEST
2014;116;0,17873413832829610;SUD OUEST
2015;156;0,36600045617412280;SUD OUEST
2016;121;0,08556034811060979;SUD OUEST
2017;137;-2,10351927518224624;SUD OUEST
2018;108;1,16504557504093764;SUD OUEST
2019;152;1,27767252310717261;SUD OUEST
2020;145;-0,14571781471366166;SUD OUEST
2021;156;1,60091159674749872;SUD OUEST
2022;166;0,63275100887083480;SUD OUEST
